ResponseId,Q2_1,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q4_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_8_TEXT,Q11_1,Q11_2,Q11_3,Q12_2,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q17,Q18,Q19
Response ID,Q1: Name of the prison facility you are currently in: - Select,Q2: How many months have you been in this facility? Please add answer in months. If left blank add N/A.,"1. Do you know of a plan that describes procedures you should follow when these climate emergencies occur? - Wildfire, including exposure to smoke",1. Do you know of a plan that describes procedures you should follow when these climate emergencies occur? - Flood,1. Do you know of a plan that describes procedures you should follow when these climate emergencies occur? - Extreme Heat,1. Do you know of a plan that describes procedures you should follow when these climate emergencies occur? - Extreme Cold,2. Check either yes or no to answer the following questions. - Have you ever been trained on safety protocol for wildfires?,2. Check either yes or no to answer the following questions. - Have you ever been trained on safety protocol for floods?,2. Check either yes or no to answer the following questions. - Have you ever been trained on safety protocol for extreme heat?,2. Check either yes or no to answer the following questions. - Have you ever been trained on safety protocol for extreme cold?,2. Check either yes or no to answer the following questions. - Do you know your evacuation route in the event of an emergency?,"3. Only check one of the boxes to answer the following questions. If they’ve written a response that does not fit this scale, please select OTHER and specify in the text entry boxes. - Have you ever participated in a fire drill?","3. Only check one of the boxes to answer the following questions. If they’ve written a response that does not fit this scale, please select OTHER and specify in the text entry boxes. - Have you ever participated in an evacuation drill?","4. Have you experienced the following climate emergencies? - Wildfire, including exposure to smoke",4. Have you experienced the following climate emergencies? - Flood,4. Have you experienced the following climate emergencies? - Extreme Heat,4. Have you experienced the following climate emergencies? - Extreme Cold,"5. Have you been evacuated from your cell or building due to any of the following climate emergencies? - Wildfire, including exposure to smoke",5. Have you been evacuated from your cell or building due to any of the following climate emergencies? - Flood,5. Have you been evacuated from your cell or building due to any of the following climate emergencies? - Extreme Heat,5. Have you been evacuated from your cell or building due to any of the following climate emergencies? - Extreme Cold,"6. Have you ever feared for your life due to any of the following climate conditions? - Wildfire, including exposure to smoke",6. Have you ever feared for your life due to any of the following climate conditions? - Flood,6. Have you ever feared for your life due to any of the following climate conditions? - Extreme Heat,6. Have you ever feared for your life due to any of the following climate conditions? - Extreme Cold,"Check either yes, no, or don’t know to answer the following questions. - Heat cramps (painful, involuntary muscle spasms occurring due to heat)","Check either yes, no, or don’t know to answer the following questions. - Heat exhaustion (symptoms may include dizziness, nausea, headaches, fast and weak pulse, fast and shallow breathing)","Check either yes, no, or don’t know to answer the following questions. - Heat stroke (symptoms may include a body temperature above 104 F, hot and dry skin, rapid heart rate and breathing, nausea)","Check either yes, no, or don’t know to answer the following questions. - Irritated lungs, eyes, or throat from wildfire smoke","Check either yes, no, or don’t know to answer the following questions. - Wheezing, coughing, difficulty breathing from wildfire smoke","Check either yes, no, or don’t know to answer the following questions. - Worsening of existing respiratory condition (ex: asthma)","Check either yes, no, or don’t know to answer the following questions. - Prolonged numbness in hands, feet, etc. due to cold","Check either yes, no, or don’t know to answer the following questions. - Other health issues that required medical attention. Please specify:","Check either yes, no, or don’t know to answer the following questions. - Other health issues that required medical attention. Please specify: - Text","8. Please check either yes, no, or don’t know to answer the following questions. - Are you currently taking any prescription medication that can make you susceptible to extreme temperatures (ex: antidepressants, high-blood pressure or heart medication)?","8. Please check either yes, no, or don’t know to answer the following questions. - Have you ever had limited access to showers?:Right","8. Please check either yes, no, or don’t know to answer the following questions. - Have CDCR’s efforts to conserve water limited your shower use?:Right","Check one of the options for the following questions. - In the event of a climate emergency, prison staff will keep me physically safe. (wildfire, flood, heat, cold).","Check one of the options for the following questions. - In the event of a climate emergency, prison staff will lock me in my cell and leave the facility for their own safety.",Check one of the options for the following questions. - Prison staff would intervene if my safety was threatened by a climate emergency.,10. To what extent do you worry about your physical safety when the following occur: - In the case of a wildfire near the prison.,10. To what extent do you worry about your physical safety when the following occur: - In the case of a flood within or near the prison.,10. To what extent do you worry about your physical safety when the following occur: - In the case of extreme heat at the prison.,10. To what extent do you worry about your physical safety when the following occur: - In the case of extreme cold at the prison.,11. To what extent do you do you feel prepared for the following situations: - To evacuate during a wildfire.,11. To what extent do you do you feel prepared for the following situations: - To evacuate during flooding.,11. To what extent do you do you feel prepared for the following situations: - To get to a cool place during extreme heat.,11. To what extent do you do you feel prepared for the following situations: - To get to a warm place during extreme cold.,"Please check either yes, no, or don’t know to answer the following questions. - Does the prison yard you use most have shade cover?","Please check either yes, no, or don’t know to answer the following questions. - Have prison staff ever given you additional blankets for the cold?","Please check either yes, no, or don’t know to answer the following questions. - In cold weather, do you have access to heated facilities?","Please check either yes, no, or don’t know to answer the following questions. - Has the prison ever lost electricity or had a generator failure in your time there?","Please check either yes, no, or don’t know to answer the following questions. - Have prison staff ever given you a N-95 respirator mask if there was wildfire smoke in the area?","Please check either yes, no, or don’t know to answer the following questions. - Are you able to keep masks, like N-95 respirators, inside your cell?","Please check either yes, no, or don’t know to answer the following questions. - Are you able to store other emergency supplies in your cell (ex: water, N-95 masks, extra blankets)","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - You used a fan that you bought (from commissary or elsewhere).","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - Prison staff gave you water or electrolytes.","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - You had access to portable cooling units.","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - You had access to air-conditioned rooms.","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - Prison staff allowed you to get ice.","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - You had increased access to showers.","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - You had increased access to water.","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - You used water from your cell sink or toilet to cool down.","13. On days when it was extremely hot in the prison, how often would you say the following occurred? - You received accommodations in cell or yard time.","14. Below, you can include anything else like to share about how climate emergencies in prison have affected you. If you have had wildfire, flood, or extreme temperature experience at another prison you would like to mention, you can write about them here. Please include the name of the prison.","15. Do you have any recommendations for CDCR, Ella Baker Center, or the general public on how to address the impact that these climate emergencies have on you?",Please add any other relevant info added by respondents in the margins. Please note what question they were referring to:
R_eeuSR1uNU5dcw2R,Chuckawalla Valley State Prisonﾊ(CVSP),13,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,,1,1,1,1,3,1,1,0,3,1,0,0,1,1,0,0,1,1,NA,1,1,"Always, or almost always",Never,Never,Sometimes,Sometimes,Never,"Always, or almost always","Always, or almost always",Never,"During extreme heat months, the concrete absorbs the heat and slowly releases it all night. The A/C is vulnerable to winds and frequently gets tripped off where we are left to our own devices. Extra fans are criminalized.",The current structure of prisons is adverse. The concrete and metal absorb heat. The structure should be like European Penal Structures that are small clinics and apartments that accommodate a small necessary amount of people to address their needs (specific needs) not warehousing in crowded milieus such as we currently have.,
R_1ez9l98pfIu3d1N,Chuckawalla Valley State Prisonﾊ(CVSP),36,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Covid,1,1,1,4,4,4,2,2,2,2,0,0,0,0,0,0,0,1,1,1,1,"Always, or almost always",Sometimes,Never,Never,Never,Never,Sometimes,"Always, or almost always",Never,Chuckawalla Valley State Prison have not have any of these climate emergencies in our prison but COVID has effected use in so many ways.,None.,
R_p5hyP9N7BFNzu5X,California Health Care Facilityﾊ(CHCF),120,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,1,1,1,0,0,,1,1,0,3,0,2,2,0,2,0,0,0,2,0,0,1,1,1,1,1,1,"Always, or almost always","Always, or almost always","Always, or almost always","Always, or almost always",Never,Sometimes,Sometimes,Sometimes,Sometimes,,None,
R_21uOEra3crniLqY,Wasco State Prisonﾊ(WSP),7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2,4,2,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,"Always, or almost always",Never,Never,Never,"Always, or almost always",Don't Know,Don't Know,"Always, or almost always",Never,"""This prison is terrible is regards to accommodations for inmates whether extreme temperature, earthquake, or just normal opperations or acceptable temperature condition. Another situation I can think of is back in 2010 while housed at Ironwood State Prison on a layover we had an earthquake, I believe the magnitude was 6.9 on the rictor scale.... well I understand that this is a no working sort of situation, but I vividly remember the corrections officers just bolting.... They ran out of the building and left us in our cells. This occurred on or around Easter Sunday 2010 around mid-day. I understand this is not an extreme temperature situation, but I hope this memory will give you the sense of safety concerns CDCR displays to its residents","""I'm not sure how this lack of human compassion can be transformed to better serve the ""inmate community"" safety or awareness to various protocols, but something beats nothing everytime!","""Thanks for your care and concern, it's refreshing to see and know that someone out there still cares and haven't completely forgot about us. May God bless you and yours."""
R_3rIqjtukdkVyFAY,High Desert State Prisonﾊ(HDSP),132,1,NA,1,1,0,0,0,0,0,0,0,1,3,1,1,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,,1,1,1,0,4,0,3,2,2,2,0,0,0,0,0,0,0,1,0,1,0,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,"High Desert State Prison do not give us fan in extreme heat or ices. High Desert State Prison do not care about us in wildfire. in 2021 Susanville CA, had a wildfire at athe prison we didn't have no mask or respirators in here. My eye was hurt and my lung was hurting.",I want to have a fan when it is extreme heat. Because we are in a desert. We need ice to be pass-out in extreme heat. We need two blankets for the cold.,
R_1pMMXLKZEBQ2TII,California Rehabilitation Centerﾊ(CRC),2019,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,NA,1,1,1,1,0,1,1,pulomonary embolism,1,0,0,0,4,0,3,2,3,3,0,0,1,0,0,1,1,1,0,1,NA,"Always, or almost always",Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Chuckawalla- extreme heat 2015 had to be medically transfered out do to chronic hypertension, headache disorder, high blood prusser",early emergency medical climate release,"Im, ____ give Ella Baker Center permission to review my medical records in accordance with human rights (UCLA) survey. (Name & DOB & Date)"
R_szZaGdpoZsPQvzX,"California State Prison, Corcoranﾊ(COR)",76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,NA,0,1,1,1,Asthma,0,1,1,0,4,1,3,3,2,3,0,0,1,1,0,0,0,1,NA,1,1,"Always, or almost always",Never,Never,Never,Sometimes,Never,Sometimes,"Always, or almost always",Sometimes,"Corceran state prison- no hot water, for over 6 months now, even when its raining and storming still no hot showers. you have to try and shower with lukewarm water in order to keep hygene up",Im recommending someone teachs us inmates at corcoran state prison the safety protocols to all climate emergencies in order to be somewhat prepared just in case of an actual emergency,
R_2aKOcc8XDEtxGme,California Men's Colonyﾊ(CMC),48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,"Heat, although not as much an issue here (CMC East) as other prisons like PVSP, is an issue, unless I am on heat med, ice is never provided through official channels. Even fans are only provided on the ""tier"" but cell doors are mandated closed, so no direct relief is available. Also, fans are often off, due to officers not wanting them on due to noise (security issue-excuse) on malfunctions. Had I not repaired fans on numerous occasions, even though I'm not an official maintenance worker, late last year, no fan would have been available on the tier. I was given a 115 RVR only weeks later for the parts in my cell deemed ""contriband."" BTW I own a clock that has a thermometer on it. I told officers of excessive heat in the cell on many occasions here and at PVSP, yet nothing is done on an urgent basis. We normally have to wait for better weather.","There is not enough space here... but here goes. If coolers are not available, or even with them, when the in-cell temp is at or above 90 degress (or high 80s) fans should be provided to indigent inmates, ice water to EVERY inmate, in an on going manor (not just once or twice a day). Cell doors ______ open, for movement of air at the least. Tent or shaded areas on yard to allow for protection from sun stroke. I ""fell out"" at PVSP with heat stroke and treated by medical staff b/c the building skipped an unlock and I was forced to stay outside for another hour in 118 degree heat",Middle page was not scanned
R_3gRSDDf26cBh5X5,Folsom State Prisonﾊ(FSP),14,NA,NA,1,NA,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,NA,0,1,0,0,0,0,,0,1,1,1,0,2,1,0,2,2,0,0,2,0,0,0,0,1,1,1,1,"Always, or almost always",Never,Never,Sometimes,Sometimes,Sometimes,"Always, or almost always","Always, or almost always",Don't Know,"Corcoran State. Floods on tier, cells leaking and flooding power outages in all prisons especially here at Folsom. Folsom Prison roof leaking",Fix roofs in prison (old ones) like Folson. Not all vents work in cells for air and heat. Please send bigger envelop for survey thank you.,
